sentence_id	sentence	sentence_domain	source
005a6e3c8188c906d7a248ba69f709d502f2b9ea15420de84dfde4f0f944aec6	სოდეთ შუმა რენ თექ ბუმა რე		ინტერნეტი
006b14dba55f32a977a89626231f76935921fd4fd4b486e6944ba3cd7df9d87f	ლეხის კითხენა ოჭკომალი გოკონ დო ვარია.		მე თვითონ
00876806887de2ade5a7632dad372a1047c0ca65f123bd29d66e93a642a03662	ტუმე ვარ ის ტო ტო მაშინ ჰ ჰენ ხარ ჰაგარი ????		ანდრო ნაჭყებია
00b81cb95201dc99604cb2002a63fbcd9c2cf660cb937fc10472647d7cdc2c9e	კოც ტანი არჩინუნია დო გური ვარია		ინტერნეტი
011f7d3977e01b2a5418dcf2b85f3fa6db13162c327f2217453fbeaa263ccc19	დღეს-ხვალეთი ზამთარმა მოუსწროო“.დღე-მეხვალიე კაცსაო თოვლი მოუვა კარსაო.		ინტერნეტი
01a24d48881ce8206d707c4aec7f23358a99eb70c6061467372580e92e534bd2	გერეშ გერე 		ინტერნეტი
020eba6438e150fb879952fa5ce1177b660bd1f7ad0f241e3e3d9157effa7caa	ხვიჩა,ტველას ჯობია.		ფიფასგან
02876641c322d9e1a93afac417284bf9c1f280b80620001b1cc652ee8b2fe85c	მუსიკოსები ხშირად იკრიბებოდნენ პიცარელის ნიუ ჯერსის სახლში, სადაც ხშირად თავყრილობა ჯემსეიშენებით მთავრდებოდა.		VOA Georgian https://www.amerikiskhma.com/
02a2cb694e9d71cbf88f0223781ac37d3cee669ead907cc3fdcac2b85a35c77d	ხვიჩა კვარაცხელია არის ძალიან მაგარი დებილი		დათო
02e3a216666944832a722ad5c9a693ca0029c1cf2272eed78fb0c434d2d6bad6	"ბულიშა სხული ვეგიჸონენია.""ბალზე მსხალი არ დაიმყნობაო."""		ჩემი შედგენილი
034698f347775801477030cf45dcf7faddf4c74200f60a0a08c462c7f7d9caa5	"ბაბუ ღურუს მოთაშა ოწურუანდუა.""ბაბუა სიკვდილს შვილიშვილისკენ მიუთითებდაო.""ბაბუშა ღურუქ ქუმორთუა დო მოთაშა ქემიოწურუა."		ნ.ჭეჟია
03853fdeab8d647f6404896ab7c2fda98d49ea3696984e86f58a3f5f40fd0553	ბედშა მითინს ვანტინენია.ბედიშა კოს ვამდაართენია.		ინტერნეტი
03c237587135cc6d2977fbc4471d118afa8599127d9c6f39d701f202b02257f3	ბიწოოოოოო		ხასაია ბარბარე
04328b757fdeb1efdbec5d60715a22b02d34c1b273d8e6fbcb2defa041ed878b	პიჩვანიში ჭკომუა კოც ვაწაწყმიდენცია		ინტერნეტი
04405163d3f5b7e9bb042e8565a7fc03cc0ce4b0e566f3e04fad97a84f51ff8b	გური დო შური ვადარკა კოსია.		ინტერნეტი
04795ec903d21ae34efb45b43a866d21f5a5494bed6d12ff17c9e8b91b061ec6	ის ხშირად გამოდიოდა ლეგენდარულ მსუიკოსებთან ერთად.		VOA Georgian https://www.amerikiskhma.com/
0499402f999690bfdd4c3ea66a1f07442a32890af90d646e8d3e4a4477863829	ამა ბლაკ ნიგაა ფ		დ
05e6ceb25a6dc9e59ae21c960b03cbc6d939181401965a22f55a6da08f879be0	ბურთი დო მინდორი სქანი რენია		ინტერნეტი
062c302b16b9f3cd80794892daaa132e636d95108b27abc1bbeab299ec93e77d	შემდეგ, ის ამ უწყების თანამშრომელს გადასცემდა საფულეს და ეუბნებოდა: “გამარჯობა.		VOA Georgian https://www.amerikiskhma.com/
06424158499743263930ccc1512c56f4a57a4447eb1368a27f09df9f8ccc00ce	დემეტხი სი გიჟ		მე თვითონ
066173037ba3d1cdc01eb09ba2fb243e76185232488e0e0ad75a0074e5d22610	სი გიჩქჷნი იზმაქ ქაშმოჭყორდუა.		ინტერნეტი
06aa195dd8f28cd11580530d2ac84ab3329bf2c05c40287ce14a6c70caebcb47	ოთოფურე		ინტერნეტი
06b681870cc95e95364fb8103f226799e628e490dad9015f4b883de5d1ff75f2	გეღან		ინტერნეტი
076e8ba0b8af9d5ca556c903315ec3f15b40302ccf2d24721c38048a6a5ff444	ბოროში სქუა ბორო იჸინია.		ინტერნეტი
076eb26e60bbd16475a9049dfad4cebfc7a8659619a66ac20cef00b2fdccce28	ამინდი ოჭუმარეშე მერჩქინდუნია.„ამინდი დილიდან დააჩნდებაო“.		თამარი კაკულია
07b0019c063824840e5aad1c8722a67be7030442bb5c9e526babe25684dce790	მარგალეფ დო დადიანებ რენა მანგარ ხალხ		ინტერნეტი
07b4189a79e9aac6a78b2cef785987a57f74f1da0c4ce176e96b0d00e949fb20	დაჩიი ბარო ბარო		სსს
07f5e04dbfe89c34fbc3028d8fe6d3291f0c9a5b50c4b0a8ff12ca63b83cda8f	ალაყურტის ხოლო ყირტუა ოკონია.„		ინტერნეტი
0829d73a9cd6a6162fcb888bc98ccf0083b7194995e43c0ce11f2c18241bc35e	"ბედნიერი მაჭიშუანცია დო უბედური ვაჩანცია.""ბედნიერი მიასწრებსო და უბედური არ აჭმევსო."""		ნ.ჭეჟია
08930ef8a5101ef6db7e4f46f52dd42d55ab5a44f33763789280b31e9b905d7c	მარიიიი ჩემი ლოვეეეეე		თეკლე კვარაცხელია
08c351845e389d2eb9c4b41cbc62adfbf61d6e2471b5afe7df1f70a4bf8df33a	დემოქართველო		ალექსი
08f652fd4b2a4b609bce60b140bc79ebf6ef608e252984e7c392854837ed9dee	ართი შხურიშო ქობთქუათ დო ართი გერიშო		ინტერნეტი
0918d19c8078edc59cf7e41ab81c7713e237c600f261d9896c44448ff54559e6	გემუანი ნინა წამალი რენია		ინტერნეტი
09d17cbeb643d791c9c82495e58e71dbc5d6c42ccbc070c82547a07f27ff0151	კუშ სკუა კუ რე		ინტერნეტი
09e7b20a7763e25fd894afc91ef47a865773633463f8b18a3cecdb2244d83554	მონდას ოოთესია დო კობუქ გითოლუა		ინტერნეტი
0a61e9f320113f67ed78b1a54ff08efb3e04f336ea4b7c3bc1eb47f6736eb7fd	ადრეიანი  ედგინა 		მეგრული
0a66137c8bb2d3511b4548400fb79b3c150a87ec2fbc406f0cfef67e6cee9a88	ამდღა-ჭუმე დღას ველიებუნია		მე
0a72bcb5632130828e5d2d050add644eb18326d8bb6200c996ef05d39781234e	ჟღვლინტი		დადიანები
0a7af7c9b1f329a01c8a73d254ba6c5b9158b1007ae5a8cd30404856d75275a8	ჯერ არასდროს ყოფილა მთავრე ასე წყნარი!		"""მთაწმინდის მთვარე"" - გალაქტიონ ტაბიძე"
0ac984eff697bbe3e7349675489471b44e7f602f96347dcee43f1f52f4ae33bd	ალალობა სარალობა რე		ინტერნეტი
0b11245f4cc2d8ba24a399854cac7f49107a024949706329727877acf632b107	სტეინერის ტუდია არამარტო ფილმების გადაღებისთვისაა საკმარისი, არამედ მასში სხვადასხვა სატელევიზო შოუების ჩაწერაც მიმდინარეობს.		VOA Georgian https://www.amerikiskhma.com/
0b21c2955d0180d739b1ac9b69a12c6268e76f7afa4732abb3202d85af07f25a	უბილავა ორი ქულით ფასდება ეკოლოგიური ფაქტორებიდან გამომდინარე. 		ბუნებიდან
0bbfac4eb60c02b59ea9eb8cd43ab2c2d7db8e6d7dd5ddf0935486a60ae88a15	გოგონა ველოსიპეტზე კატაობს		გოგო
0bd909056df24781e6764014c49974db48b13fdeb8b2462a5ed3c882e36733a2	ზუგდიდი კი რუსეტი არა რომელი		1
0bf80eed730666b658877ff440f845efe6805dd4d7f0159066c471eb4b1ed7f5	ერთ-ერთ ყველაზე გახმაურებული საუბარი იყო ამ თემაზე.		VOA Georgian https://www.amerikiskhma.com/
0ca2a0290474b07e9733b63545aee49d4bdb8c42d086162b77a15688eb1e7e03	ბულს სხულს გინაჸონასია ბალზე მსხალს ამყნობსო		ინტერნეტი
0cb7d99dec8aeb409b1d5f9d330b84b902f11bc2ed2d73e41bac3dc1c646f0b6	გეეთუ ბუხუიაშ დიარაქ		ინტერნეტი
0ccc7f16016702071bbdfe576238d9c6c91fbe7fdca1eefabe2c3c6243faad81	გადი თირქია გაიარე სჰე პატარა წინკავ		ხასაია ბარბარე
0ce197069534c5c2647f1e24e61427d52d00e80a302b48d39de9e1f8692494a1	სვანეთში ხშირად ზვავი წყდებოდა  რადგან ის მთიან ადგილია		ისტორია 
0d0e5c7f390d3b03790ba7271386a23e2e2d2b6ed4bce7876527200406e81a37	ბიჭები ზანგოზავრები		ხასაია ბარბარე
0d28884040571fd7fc30ba6b6e24b87557b137cca693340b54b128bacbc0f91c	დასაკლავი ქათამი ვინააააა		შენი წამყვანი ოცნება
0dc260a0a8628c830772ca5b1a0d2b54a2d0d0c00b7c66ddcdcc40ff7a212997	შენს ზღვას გავხარ, დამშვიდებულს და მაინც მე შენს ტალღებში ვკვდები.		ირაკლი ჩარკვიანი
0dc8a47d55d91c31fd4e720aefd9c7c42e146dd068cd5e009fee5c6faaf695a6	სი მი რკითხენს გული მუშა რე ბაზარსია		ინტერნეტი
0dfbcc556465644b3964a480c73c9d97b27950a35f7907e76703bfd5b45f9e46	გგგგგ ააააა მარჯობა.		ამბროსი ხელაია
0e55d867ecf525f2aa2e7d4531ec98b2e11febab36769140865bc16218ea4f76	გამოდარა როგორც იქნა - მალე გაზაფხულიც მოვა.	general	საკუთარი ნამუშევარი
0e89103f3f0dfbcf3ae2583ebf832eda9e48665bb36070f4531f29e2d7da1107	კურდღელი მიწაზე მგელი უყურებს ცერებიდან		" IV დასი-,,ჩემი ხალხი"""
0e8d359e3cac764c9b63b1acb1ea06cb66f45e981464e89bb6c9ae945f06764a	ჲა̈რ ხიშდ სგა̈ჲ? ნა̈ჲ ხუ̂იშდ სტუდენტა̈რ.		"ვარლამ თოფურიას ""სვანური ენის სახელმძღვანელო"""
0eb92da126d8a57b83feaaf7da4e76327f1084e6b30c989fe58067e99da1bf33	ინგლისშ ორ სპენიშ		ინტერნეტი
0ef3b08ddad9ef208018290ddae72706fcfd7db578ccc467ab1b4b35f39d3e0d	ყარამან ქუთათელაძემ უკვე განაცხადა, რომ ეს დოკუმენტია გაყალბებულია და ეფიმოვმა მასზე ხელი შეცდომით მოაწერინა.		VOA Georgian https://www.amerikiskhma.com/
0ef53a0dca9cee25da0e5cbc87ee8d9148c44e27e73de67bf6c10dabf98ecbee	კოპიტიაქ ეკირთუა დო ნისორიაქ		ინტერნეტი
0f394fa3794c21d3cdc1606cd2db091e0e868758f1436fec1dc71c7d2e9497ad	ლათინურ-ამერიკული წარმოშობის ადამიანებისთვის.		VOA Georgian https://www.amerikiskhma.com/
0fad6ce26a4631aabe1dfeadbef3e11418cf5958d9441c262c6b9c17e3eeb5a9	ღორონთ გოგითანუათ ახალ წანა		მე თვითონ
109a48be6de54e685e4f260ab11df3e4796993e5102f85b6a5d43f83bee58005	glamour blonde glamour		bestt
11025d0065c1644427a80297bd04f66dc5f67ff15ef8725c0fad394989d4e7b4	ახლად გამეფებულმა ვახტანგმა პორველად ჩრდილოეთ კავაკასიაში ილაშქრა.	history_law_government	წიგნიდან
112a51bf854ac357c0e6f6fb2fb39989eb22f71f3da9bd083127cff1547faf50	შენ ხარ სენ		ინტერნეტი
114779d60cbf5bd73fe5221374c0a6ff6699bc9335583bdf298bf55357273109	კაშა მარცხი ქომოხვადუნ უკულ ნარღება მუს ოხვარუნია.„ერთხელ მარცხი რომ მოხდება 		ბესო
1168190346041168fb3f9d60a2dd7aff686c2b9f92e218985084282c4004788b	ხეზ ერთი ფოთოლიღა დაერჩენოდა		ტექსტი
116845b32473f5d591d25f2be1ee52f795450969c2f4ea97cfdad75041de8f73	ბოროში სქუა ბორო იჸინია		ინტერნეტი
11997e521d8e1e54b5226f53cc9b46424679e53b7ae6cbf5af2b051f91785810	მაჭირხოლი ღორონთიშ ქოთომი რენია	media_entertainment	ინტერნეტი
11a0451bc49bb7eea99e3955f77d9feff36beb8798294bb619559cf1f0942e6b	ჰარი ტრუმანს მას ბახისა და რაველის შესრულება უთხოვია.		VOA Georgian https://www.amerikiskhma.com/
12a6d78f79181d3809ae7b2fb743b1e49e02240fa5991c2c3068f4249d368776	ამდღა-ჭუმეთი ზოთონჯქ ქუმაჭიშუა.„		ისტორია
12b5df2799307b2a9d34cb1be1b3375a0ea33e93ac34baefa469bb8a2f9b15c3	ართ სენ ფაფირს ონოღია გიოდინუ ხინტკირიაქია		მე
12c8136faad6bd19d0bbf611d6f6278774ee8175cb240b37800af990f881315a	ზაქარეა ფალიაშვილი მუსიკოსია		მუსიკოსია
13179aaae2df54a2dcb9cc1c0cd1e8a2e4d4dd39d79a71809bb409f56052b4c3	ubralod adamani		ბუნბაააა
132cb2fdaa3997f6d6529fcd04b1e463a3e93db99d47a8c17f447fc63b5dca40	ანარკიაშა ჩხომი ჭვილი მეუღუდესი		ინტერნეტი
13538631fecf8519bd267e29c45793e69c1c251a7b908301ab15ed0e635fc03b	გური ღანჯარი რენია		ინტერნეტი
13e139c046002e96919bbd975175e3bc0269bc6fc583a42e1dfb8fbbb36b93fa	ისინი ერთან იყვნენ მთელი ერთი საათი 		საუკეთესო ეპიზოდები
141502d0f52537161c0a492953c167b779405c4f499820e57c5c747aa7f9ea26	არდგილიშ ლებიას არდგილიშ წყარი ხაშუნსია.		მეგრული ანდაზა
14717713909ebb9568cfe186fe5dd1881ab1381e1266bc0a7b1b9702de96cf30	 ეს იყო მისი პურიც და წყალიც. ასე გაჩნდა უდაბნოში ირმის ხევი.ც		.
1554b3e9a1968d4c7596dad1182280e1d8880b334a38966a3a40d8239e7cf1ad	ქავთარაძე  best		ინტერნეტი
168dce3b82a76297d71a85b65d1d11bb456a9bcd2a9030f542f026263d3a1a37	საუკეთესო ბარბარე ვარრრ		ხასაია ბარბარე
